feature,importance
payment_method_COD,0.16646112570863122
price_inr,0.1371158280613195
customer_tenure_days,0.1074306316901857
delivery_distance_km,0.09724351393680254
discount_pct,0.08901062015778392
delivery_days,0.07552168759906566
num_previous_orders,0.06715144037063397
num_previous_returns,0.05188804495425138
payment_method_Prepaid_Card,0.04207982341593043
rating_given,0.038079835854501205
payment_method_Prepaid_UPI,0.03179688601589292
product_category_Apparel,0.022948217338280917
product_category_Electronics,0.01372626311341969
product_category_Beauty,0.013609020751873606
product_category_Footwear,0.01350690550720098
product_category_Home,0.011912328823387226
payment_method_Wallet,0.010464351685170514
is_weekend_order,0.010053475015668771
